XP_035657343.1	PE_Scaf1142_1.4
XP_035657346.1	PE_Scaf6666_2.9
XP_035657360.1	PE_Scaf2739_0.6
XP_035657370.1	PE_Scaf326_2.2
XP_035657412.1	PE_Scaf3895_5.3
XP_035657444.1	PE_Scaf11994_10.6
XP_035657470.1	PE_Scaf8750_1.4
XP_035657471.1	PE_Scaf8750_6.21
XP_035657480.1	PE_Scaf8750_8.0
XP_035657481.1	PE_Scaf3228_7.10
XP_035657482.1	PE_Scaf6672_6.6
XP_035657493.1	PE_Scaf3341_3.5
XP_035657539.1	PE_Scaf6934_1.3
XP_035657548.1	PE_Scaf8412_1.1
XP_035657551.1	PE_Scaf9162_4.6
XP_035657600.1	PE_Scaf7130_8.14
XP_035657602.1	PE_Scaf8483_2.1
XP_035657604.1	PE_Scaf3596_4.2
XP_035657605.1	PE_Scaf3596_4.3
XP_035657630.1	PE_Scaf5907_5.7
XP_035657657.1	PE_Scaf6020_5.12
XP_035657658.1	PE_Scaf7718_0.4
XP_035657665.1	PE_Scaf8222_1.17
XP_035657668.1	PE_Scaf10496_0.2
XP_035657679.1	PE_Scaf3573_2.11
XP_035657690.1	PE_Scaf2683_1.13
XP_035657723.1	PE_Scaf5744_0.2
XP_035657724.1	PE_Scaf5916_6.6
XP_035657726.1	PE_Scaf289_2.3
XP_035657727.1	PE_Scaf12063_1.5
XP_035657736.1	PE_Scaf10232_5.8
XP_035657738.1	PE_Scaf3252_0.2
XP_035657746.1	PE_Scaf8630_0.3
XP_035657819.1	PE_Scaf717_7.5
XP_035657820.1	PE_Scaf7342_0.10
XP_035657858.1	PE_Scaf5907_4.3
XP_035657859.1	PE_Scaf12082_3.7
XP_035657907.1	PE_Scaf10420_6.5
XP_035657921.1	PE_Scaf9825_2.11
XP_035657927.1	PE_Scaf986_4.18
XP_035657931.1	PE_Scaf6553_3.10
XP_035657940.1	PE_Scaf147_1.2
XP_035657947.1	PE_Scaf4100_0.7
XP_035657956.1	PE_Scaf10232_4.4
XP_035657957.1	PE_Scaf10440_1.3
XP_035657976.1	PE_Scaf5907_14.5
XP_035657977.1	PE_Scaf10212_2.12
XP_035657980.1	PE_Scaf10212_2.20
XP_035657994.1	PE_Scaf2466_0.15
XP_035658000.1	PE_Scaf11121_0.8
XP_035658029.1	PE_Scaf8668_13.5
XP_035658077.1	PE_Scaf5778_17.6
XP_035658113.1	PE_Scaf8412_2.3
XP_035658146.1	PE_Scaf12063_3.2
XP_035658153.1	PE_Scaf4242_0.4
XP_035658177.1	PE_Scaf9700_1.8
XP_035658178.1	PE_Scaf7069_1.7
XP_035658192.1	PE_Scaf10232_5.9
XP_035658195.1	PE_Scaf1224_2.7
XP_035658222.1	PE_Scaf12200_3.4
XP_035658266.1	PE_Scaf4702_3.22
XP_035658270.1	PE_Scaf8258_3.3
XP_035658278.1	PE_Scaf3460_4.4
XP_035658307.1	PE_Scaf10833_5.17
XP_035658311.1	PE_Scaf5778_19.11
XP_035658313.1	PE_Scaf7376_3.6
XP_035658314.1	PE_Scaf9091_0.4
XP_035658320.1	PE_Scaf5916_2.1
XP_035658326.1	PE_Scaf10279_1.8
XP_035658330.1	PE_Scaf6934_1.2
XP_035658350.1	PE_Scaf3341_1.2
XP_035658351.1	PE_Scaf5436_3.3
XP_035658352.1	PE_Scaf11331_1.4
XP_035658364.1	PE_Scaf5855_12.2
XP_035658366.1	PE_Scaf2513_1.3
XP_035658373.1	PE_Scaf10212_2.11
XP_035658374.1	PE_Scaf8695_6.7
XP_035658375.1	PE_Scaf5778_14.3
XP_035658397.1	PE_Scaf4936_1.11
XP_035658413.1	PE_Scaf12256_3.2
XP_035658442.1	PE_Scaf379_2.11
XP_035658444.1	PE_Scaf2622_3.9
XP_035658471.1	PE_Scaf6199_3.16
XP_035658489.1	PE_Scaf8049_0.4
XP_035658490.1	PE_Scaf1644_2.2
XP_035658500.1	PE_Scaf7027_1.12
XP_035658505.1	PE_Scaf289_2.2
XP_035658525.1	PE_Scaf8258_0.16
XP_035658551.1	PE_Scaf1336_2.4
XP_035658594.1	PE_Scaf5518_1.2
XP_035658611.1	PE_Scaf9976_3.11
XP_035658614.1	PE_Scaf3834_8.14
XP_035658615.1	PE_Scaf3341_3.6
XP_035658616.1	PE_Scaf2180_7.12
XP_035658617.1	PE_Scaf145_11.4
XP_035658620.1	PE_Scaf12393_1.5
XP_035658636.1	PE_Scaf6503_1.8
XP_035658641.1	PE_Scaf3834_8.13
XP_035658642.1	PE_Scaf6906_2.5
XP_035658645.1	PE_Scaf5778_18.2
XP_035658696.1	PE_Scaf7153_2.7
XP_035658706.1	PE_Scaf1706_3.4
XP_035658716.1	PE_Scaf4379_0.3
XP_035658751.1	PE_Scaf5855_11.3
XP_035658773.1	PE_Scaf9331_4.14
XP_035658784.1	PE_Scaf9839_0.13
XP_035658802.1	PE_Scaf3049_5.5
XP_035658808.1	PE_Scaf9123_0.5
XP_035658825.1	PE_Scaf9187_1.8
XP_035658835.1	PE_Scaf8646_5.5
XP_035658836.1	PE_Scaf6273_3.15
XP_035658842.1	PE_Scaf1481_11.1
XP_035658843.1	PE_Scaf6049_0.5
XP_035658845.1	PE_Scaf3413_14.2
XP_035658854.1	PE_Scaf9853_1.3
XP_035658865.1	PE_Scaf9829_18.17
XP_035658877.1	PE_Scaf5910_4.2
XP_035658933.1	PE_Scaf5430_4.4
XP_035658937.1	PE_Scaf6273_2.2
XP_035658943.1	PE_Scaf5855_6.2
XP_035658982.1	PE_Scaf283_2.5
XP_035659002.1	PE_Scaf3556_3.3
XP_035659003.1	PE_Scaf11594_2.2
XP_035659020.1	PE_Scaf5595_2.14
XP_035659024.1	PE_Scaf3635_0.2
XP_035659046.1	PE_Scaf12200_4.9
XP_035659049.1	PE_Scaf9295_3.8
XP_035659054.1	PE_Scaf12022_8.16
XP_035659079.1	PE_Scaf8200_1.14
XP_035659080.1	PE_Scaf3480_1.8
XP_035659089.1	PE_Scaf6386_4.4
XP_035659103.1	PE_Scaf6273_0.2
XP_035659106.1	PE_Scaf271_3.12
XP_035659114.1	PE_Scaf7912_1.9
XP_035659116.1	PE_Scaf5159_1.10
XP_035659141.1	PE_Scaf7701_3.19
XP_035659149.1	PE_Scaf2156_1.10
XP_035659154.1	PE_Scaf11930_9.10
XP_035659155.1	PE_Scaf3413_15.4
XP_035659156.1	PE_Scaf6877_4.3
XP_035659157.1	PE_Scaf6877_5.1
XP_035659171.1	PE_Scaf9482_0.2
XP_035659178.1	PE_Scaf1481_9.4
XP_035659179.1	PE_Scaf5430_5.8
XP_035659202.1	PE_Scaf8096_1.3
XP_035659203.1	PE_Scaf4605_3.2
XP_035659220.1	PE_Scaf5855_7.4
XP_035659244.1	PE_Scaf10501_2.4
XP_035659248.1	PE_Scaf10501_2.3
XP_035659283.1	PE_Scaf10367_3.2
XP_035659289.1	PE_Scaf8714_3.3
XP_035659298.1	PE_Scaf5855_4.6
XP_035659299.1	PE_Scaf8714_2.3
XP_035659311.1	PE_Scaf5436_1.6
XP_035659324.1	PE_Scaf8770_0.3
XP_035659350.1	PE_Scaf1222_6.2
XP_035659352.1	PE_Scaf4335_3.3
XP_035659353.1	PE_Scaf12200_4.8
XP_035659360.1	PE_Scaf12440_2.1
XP_035659402.1	PE_Scaf3512_2.4
XP_035659464.1	PE_Scaf12420_1.12
XP_035659499.1	PE_Scaf10499_1.2
XP_035659500.1	PE_Scaf444_1.2
XP_035659509.1	PE_Scaf9907_1.3
XP_035659515.1	PE_Scaf9792_4.13
XP_035659516.1	PE_Scaf9792_3.3
XP_035659528.1	PE_Scaf2239_1.4
XP_035659533.1	PE_Scaf10797_6.2
XP_035659537.1	PE_Scaf9658_5.9
XP_035659540.1	PE_Scaf3707_2.10
XP_035659545.1	PE_Scaf9187_1.9
XP_035659548.1	PE_Scaf2696_0.3
XP_035659554.1	PE_Scaf10367_4.5
XP_035659567.1	PE_Scaf8927_0.6
XP_035659572.1	PE_Scaf4335_1.2
XP_035659584.1	PE_Scaf4197_17.4
XP_035659597.1	PE_Scaf6386_9.10
XP_035659605.1	PE_Scaf5159_2.7
XP_035659608.1	PE_Scaf1868_2.4
XP_035659620.1	PE_Scaf8200_1.12
XP_035659634.1	PE_Scaf1189_0.8
XP_035659641.1	PE_Scaf5359_5.15
XP_035659650.1	PE_Scaf6649_2.4
XP_035659676.1	PE_Scaf37_3.5
XP_035659679.1	PE_Scaf1481_12.4
XP_035659698.1	PE_Scaf1189_0.7
XP_035659706.1	PE_Scaf11819_2.6
XP_035659707.1	PE_Scaf169_1.4
XP_035659744.1	PE_Scaf12167_10.2
XP_035659748.1	PE_Scaf12024_8.4
XP_035659759.1	PE_Scaf6837_2.8
XP_035659765.1	PE_Scaf10797_12.6
XP_035659782.1	PE_Scaf9704_1.7
XP_035659783.1	PE_Scaf1608_0.7
XP_035659786.1	PE_Scaf10636_16.6
XP_035659793.1	PE_Scaf4335_2.3
XP_035659797.1	PE_Scaf530_4.6
XP_035659809.1	PE_Scaf4728_0.2
XP_035659820.1	PE_Scaf1224_1.5
XP_035659829.1	PE_Scaf2104_1.4
XP_035659841.1	PE_Scaf3692_2.8
XP_035659868.1	PE_Scaf3066_1.6
XP_035659880.1	PE_Scaf3676_4.10
XP_035659885.1	PE_Scaf3049_4.5
XP_035659898.1	PE_Scaf6386_9.18
XP_035659923.1	PE_Scaf4413_1.10
XP_035659996.1	PE_Scaf6386_1.11
XP_035660010.1	PE_Scaf9853_1.10
XP_035660034.1	PE_Scaf2032_2.4
XP_035660053.1	PE_Scaf8368_2.20
XP_035660072.1	PE_Scaf1003_6.5
XP_035660073.1	PE_Scaf1740_1.4
XP_035660074.1	PE_Scaf3971_0.5
XP_035660076.1	PE_Scaf5501_0.10
XP_035660127.1	PE_Scaf9299_1.9
XP_035660206.1	PE_Scaf12423_13.13
XP_035660238.1	PE_Scaf2696_4.6
XP_035660273.1	PE_Scaf9470_4.3
XP_035660275.1	PE_Scaf3866_7.10
XP_035660287.1	PE_Scaf5219_1.4
XP_035660292.1	PE_Scaf5126_1.5
XP_035660306.1	PE_Scaf8193_5.3
XP_035660317.1	PE_Scaf1119_1.5
XP_035660354.1	PE_Scaf6599_4.3
XP_035660368.1	PE_Scaf8200_0.2
XP_035660372.1	PE_Scaf5085_1.8
XP_035660381.1	PE_Scaf12427_26.5
XP_035660391.1	PE_Scaf12427_27.2
XP_035660464.1	PE_Scaf3556_2.2
XP_035660468.1	PE_Scaf3078_29.10
XP_035660474.1	PE_Scaf9123_1.13
XP_035660475.1	PE_Scaf9123_2.7
XP_035660476.1	PE_Scaf1481_10.7
XP_035660477.1	PE_Scaf5085_1.7
XP_035660478.1	PE_Scaf2156_1.12
XP_035660479.1	PE_Scaf8068_5.4
XP_035660505.1	PE_Scaf6975_1.5
XP_035660506.1	PE_Scaf4468_3.2
XP_035660541.1	PE_Scaf4197_8.4
XP_035660575.1	PE_Scaf10695_0.2
XP_035660576.1	PE_Scaf9605_1.6
XP_035660624.1	PE_Scaf12126_1.5
XP_035660685.1	PE_Scaf10644_4.5
XP_035660687.1	PE_Scaf456_2.5
XP_035660715.1	PE_Scaf9624_2.3
XP_035660728.1	PE_Scaf11016_2.2
XP_035660729.1	PE_Scaf9162_3.20
XP_035660732.1	PE_Scaf4857_16.10
XP_035660798.1	PE_Scaf1750_5.3
XP_035660836.1	PE_Scaf10036_2.8
XP_035660846.1	PE_Scaf10076_7.2
XP_035660852.1	PE_Scaf12448_13.5
XP_035660855.1	PE_Scaf7341_13.6
XP_035660877.1	PE_Scaf4360_13.6
XP_035660884.1	PE_Scaf11016_1.4
XP_035660891.1	PE_Scaf1129_2.6
XP_035660902.1	PE_Scaf1183_6.6
XP_035660947.1	PE_Scaf10697_1.9
XP_035660948.1	PE_Scaf11016_4.9
XP_035660951.1	PE_Scaf3583_3.5
XP_035660991.1	PE_Scaf9907_2.3
XP_035660995.1	PE_Scaf1013_5.4
XP_035661018.1	PE_Scaf1013_6.18
XP_035661022.1	PE_Scaf4197_3.9
XP_035661042.1	PE_Scaf12537_7.4
XP_035661055.1	PE_Scaf1013_5.3
XP_035661057.1	PE_Scaf10099_7.8
XP_035661059.1	PE_Scaf5241_4.8
XP_035661060.1	PE_Scaf4774_2.4
XP_035661065.1	PE_Scaf7341_12.2
XP_035661075.1	PE_Scaf1013_3.3
XP_035661085.1	PE_Scaf228_1.5
XP_035661093.1	PE_Scaf7230_2.5
XP_035661096.1	PE_Scaf7112_4.6
XP_035661100.1	PE_Scaf3709_1.1
XP_035661111.1	PE_Scaf6783_6.6
XP_035661113.1	PE_Scaf11016_4.7
XP_035661114.1	PE_Scaf10471_1.10
XP_035661168.1	PE_Scaf512_0.4
XP_035661185.1	PE_Scaf7112_6.6
XP_035661192.1	PE_Scaf4549_1.3
XP_035661218.1	PE_Scaf484_0.12
XP_035661220.1	PE_Scaf2137_19.11
XP_035661223.1	PE_Scaf12537_7.25
XP_035661224.1	PE_Scaf2137_19.15
XP_035661247.1	PE_Scaf5364_1.5
XP_035661292.1	PE_Scaf7020_1.2
XP_035661293.1	PE_Scaf4556_1.5
XP_035661300.1	PE_Scaf4197_10.4
XP_035661316.1	PE_Scaf2973_9.13
XP_035661354.1	PE_Scaf3583_2.4
XP_035661356.1	PE_Scaf9162_8.7
XP_035661369.1	PE_Scaf9162_7.6
XP_035661394.1	PE_Scaf6225_2.5
XP_035661422.1	PE_Scaf4170_2.4
XP_035661433.1	PE_Scaf2196_6.9
XP_035661463.1	PE_Scaf4102_1.5
XP_035661464.1	PE_Scaf4197_5.8
XP_035661466.1	PE_Scaf9931_2.2
XP_035661507.1	PE_Scaf7165_7.3
XP_035661519.1	PE_Scaf4383_0.14
