XP_035657343.1	PE_Scaf1142_1.4	PY_T04693
XP_035657346.1	PE_Scaf6666_2.9	PY_T05018
XP_035657360.1	PE_Scaf2739_0.6	PY_T18525
XP_035657370.1	PE_Scaf326_2.2	PY_T15327
XP_035657412.1	PE_Scaf3895_5.3	PY_T03933
XP_035657444.1	PE_Scaf11994_10.6	PY_T06877
XP_035657470.1	PE_Scaf8750_1.4	PY_T04170
XP_035657471.1	PE_Scaf8750_6.21	PY_T04173
XP_035657480.1	PE_Scaf8750_8.0	PY_T04174
XP_035657481.1	PE_Scaf3228_7.10	PY_T09234
XP_035657482.1	PE_Scaf6672_6.6	PY_T04477
XP_035657493.1	PE_Scaf3341_3.5	PY_T15630
XP_035657539.1	PE_Scaf6934_1.3	PY_T04974
XP_035657548.1	PE_Scaf8412_1.1	PY_T03794
XP_035657551.1	PE_Scaf9162_4.6	PY_T18449
XP_035657600.1	PE_Scaf7130_8.14	PY_T16372
XP_035657602.1	PE_Scaf8483_2.1	PY_T21381
XP_035657604.1	PE_Scaf3596_4.2	PY_T04470
XP_035657605.1	PE_Scaf3596_4.3	PY_T04471
XP_035657630.1	PE_Scaf5907_5.7	PY_T04469
XP_035657657.1	PE_Scaf6020_5.12	PY_T15169
XP_035657658.1	PE_Scaf7718_0.4	PY_T15039
XP_035657665.1	PE_Scaf8222_1.17	PY_T04586
XP_035657668.1	PE_Scaf10496_0.2	PY_T04949
XP_035657679.1	PE_Scaf3573_2.11	PY_T04232
XP_035657690.1	PE_Scaf2683_1.13	PY_T04237
XP_035657723.1	PE_Scaf5744_0.2	PY_T03886
XP_035657724.1	PE_Scaf5916_6.6	PY_T15168
XP_035657726.1	PE_Scaf289_2.3	PY_T12157
XP_035657727.1	PE_Scaf12063_1.5	PY_T04478
XP_035657736.1	PE_Scaf10232_5.8	PY_T02731
XP_035657738.1	PE_Scaf3252_0.2	PY_T04737
XP_035657746.1	PE_Scaf8630_0.3	PY_T04955
XP_035657819.1	PE_Scaf717_7.5	PY_T03765
XP_035657820.1	PE_Scaf7342_0.10	PY_T04024
XP_035657858.1	PE_Scaf5907_4.3	PY_T04730
XP_035657859.1	PE_Scaf12082_3.7	PY_T11726
XP_035657907.1	PE_Scaf10420_6.5	PY_T04779
XP_035657921.1	PE_Scaf9825_2.11	PY_T23576
XP_035657927.1	PE_Scaf986_4.18	PY_T22540
XP_035657931.1	PE_Scaf6553_3.10	PY_T15480
XP_035657940.1	PE_Scaf147_1.2	PY_T17339
XP_035657947.1	PE_Scaf4100_0.7	PY_T02138
XP_035657956.1	PE_Scaf10232_4.4	PY_T03773
XP_035657957.1	PE_Scaf10440_1.3	PY_T23809
XP_035657976.1	PE_Scaf5907_14.5	PY_T12225
XP_035657977.1	PE_Scaf10212_2.12	PY_T04875
XP_035657980.1	PE_Scaf10212_2.20	PY_T04876
XP_035657994.1	PE_Scaf2466_0.15	PY_T03962
XP_035658000.1	PE_Scaf11121_0.8	PY_T11776
XP_035658029.1	PE_Scaf8668_13.5	PY_T08469
XP_035658077.1	PE_Scaf5778_17.6	PY_T22147
XP_035658113.1	PE_Scaf8412_2.3	PY_T04134
XP_035658146.1	PE_Scaf12063_3.2	PY_T04661
XP_035658153.1	PE_Scaf4242_0.4	PY_T03932
XP_035658177.1	PE_Scaf9700_1.8	PY_T03905
XP_035658178.1	PE_Scaf7069_1.7	PY_T00865
XP_035658192.1	PE_Scaf10232_5.9	PY_T04805
XP_035658195.1	PE_Scaf1224_2.7	PY_T03754
XP_035658222.1	PE_Scaf12200_3.4	PY_T13827
XP_035658266.1	PE_Scaf4702_3.22	PY_T12550
XP_035658270.1	PE_Scaf8258_3.3	PY_T04655
XP_035658278.1	PE_Scaf3460_4.4	PY_T03923
XP_035658307.1	PE_Scaf10833_5.17	PY_T02167
